COMMAND     PID        USER   FD     TYPE             DEVICE SIZE/OFF                NODE NAME
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   151040             1561294 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.Console.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    47616             1561210 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.EventSource.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   224256             1561241 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.DependencyInjection.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2493440             1561243 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.Kestrel.Core.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    14336             1561279 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.Kestrel.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   245760             1561235 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.Kestrel.Transport.Quic.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   305152             1560949 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Net.Quic.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   679936             1560912 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Net.Sockets.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   248320             1561059 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Net.Primitives.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   744448             1561238 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.IIS.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    35840             1561295 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.IISIntegration.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    56320             1561216 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Razor.Runtime.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   323072             1561270 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Http.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    52224             1561187 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Connections.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   156672             1561253 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     8704             1561224 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Hosting.Server.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    26112             1561298 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.HostFiltering.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    60416             1561285 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.HttpOverrides.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    41984             1561315 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Routing.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    21504             1561194 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.ObjectPool.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    65536             1560957 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.ObjectModel.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   249856             1561267 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.Razor.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   276992             1561316 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    76288             1561317 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Authentication.Core.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    51200             1561278 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Authentication.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    88064             1560919 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Security.Claims.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    98304             1561306 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Authorization.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    33792             1561259 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.Cors.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    95744             1561189 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.DataAnnotations.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   814080             1561237 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.ViewFeatures.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  4689920             1560933 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Linq.Expressions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   460288             1561195 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.DataProtection.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    31744             1561273 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.DataProtection.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    96256             1561186 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Cryptography.Internal.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   110592             1561209 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Antiforgery.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    19968             1561191 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.WebEncoders.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   121856             1560951 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Text.Encodings.Web.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   769536             1561303 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Components.Endpoints.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   908288             1561263 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Components.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   426496             1561220 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Components.Web.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   139776             1561280 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.JSInterop.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    40448             1561208 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Caching.Abstractions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    80384             1561288 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Caching.Memory.dll
